converged SCF energy = -12.7202055423917
RMP2 energy = -0.895838839268667
         255058 function calls (247388 primitive calls) in 0.556 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    448/1    0.009    0.000    0.557    0.557 {built-in method builtins.exec}
        1    0.000    0.000    0.557    0.557 test_h50.py:1(<module>)
    885/2    0.003    0.000    0.275    0.137 <frozen importlib._bootstrap>:966(_find_and_load)
    885/2    0.003    0.000    0.275    0.137 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    502/2    0.002    0.000    0.274    0.137 <frozen importlib._bootstrap>:651(_load_unlocked)
    410/2    0.001    0.000    0.274    0.137 <frozen importlib._bootstrap_external>:672(exec_module)
    771/2    0.000    0.000    0.274    0.137 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.274    0.274 orbital_selection_fc.py:1(<module>)
        1    0.000    0.000    0.269    0.269 hf.py:1173(kernel)
        1    0.000    0.000    0.269    0.269 hf.py:1143(scf)
        1    0.001    0.001    0.269    0.269 hf.py:24(kernel)
   470/36    0.001    0.000    0.240    0.007 {built-in method builtins.__import__}
 2162/531    0.002    0.000    0.233    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        3    0.000    0.000    0.209    0.070 __init__.py:7(<module>)
       13    0.000    0.000    0.179    0.014 __init__.py:1(<module>)
       13    0.000    0.000    0.128    0.010 hf.py:1059(dump_chk)
       13    0.046    0.004    0.128    0.010 chkfile.py:15(dump_scf)
        1    0.000    0.000    0.118    0.118 __init__.py:105(<module>)
        1    0.000    0.000    0.107    0.107 mole.py:7(<module>)
        1    0.000    0.000    0.104    0.104 __init__.py:106(<module>)
       13    0.000    0.000    0.082    0.006 hf.py:1217(get_veff)
        1    0.000    0.000    0.081    0.081 add_newdocs.py:10(<module>)
       13    0.000    0.000    0.081    0.006 df_jk.py:84(get_jk)
       13    0.000    0.000    0.081    0.006 df.py:106(get_jk)
       13    0.010    0.001    0.081    0.006 df_jk.py:128(get_jk)
        1    0.000    0.000    0.067    0.067 numpy_helper.py:6(<module>)
  501/475    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.067    0.067 type_check.py:3(<module>)
      874    0.005    0.000    0.064    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    86/66    0.000    0.000    0.056    0.001 <frozen importlib._bootstrap_external>:919(create_module)
    86/66    0.026    0.000    0.056    0.001 {built-in method _imp.create_dynamic}
      869    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       42    0.000    0.000    0.055    0.001 df.py:80(loop)
      869    0.004    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        1    0.000    0.000    0.054    0.054 df.py:52(build)
        1    0.000    0.000    0.053    0.053 misc.py:8(<module>)
      410    0.002    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:743(get_code)
       15    0.050    0.003    0.050    0.003 files.py:321(close)
       14    0.000    0.000    0.050    0.004 files.py:357(__exit__)
        1    0.000    0.000    0.050    0.050 incore.py:69(cholesky_eri)
        1    0.000    0.000    0.049    0.049 dmet.py:3(<module>)
     1880    0.014    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.046    0.046 __init__.py:13(<module>)
        1    0.000    0.000    0.034    0.034 __init__.py:266(<module>)
      410    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      410    0.032    0.000    0.032    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.028    0.028 incore.py:42(aux_e2)
        1    0.000    0.000    0.028    0.028 _ri.py:14(nr_auxe2)
        1    0.028    0.028    0.028    0.028 moleintor.py:228(getints3c)
        1    0.000    0.000    0.025    0.025 _minimize.py:8(<module>)
        6    0.000    0.000    0.025    0.004 moleintor.py:24(getints)
        6    0.025    0.004    0.025    0.004 moleintor.py:176(getints2c)
  656/654    0.012    0.000    0.025    0.000 {built-in method builtins.__build_class__}
        5    0.000    0.000    0.022    0.004 mole.py:2214(intor)
       15    0.003    0.000    0.021    0.001 files.py:273(__init__)
      208    0.001    0.000    0.020    0.000 re.py:286(_compile)
