converged SCF energy = -23.9435624916076
         254923 function calls (247238 primitive calls) in 85.309 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    449/1    0.009    0.000   85.309   85.309 {built-in method builtins.exec}
        1    0.000    0.000   85.309   85.309 test_h50.py:1(<module>)
        1    0.000    0.000   85.013   85.013 hf.py:1173(kernel)
        1    0.002    0.002   85.013   85.013 hf.py:1143(scf)
        1    0.055    0.055   84.948   84.948 hf.py:24(kernel)
       13    0.120    0.009   80.484    6.191 hf.py:1217(get_veff)
       13    0.000    0.000   80.363    6.182 hf.py:1333(get_jk)
       13    0.000    0.000   80.360    6.182 hf.py:1194(get_jk)
       13    0.000    0.000   80.359    6.181 hf.py:492(get_jk)
       13   80.322    6.179   80.359    6.181 _vhf.py:140(direct)
       13    0.000    0.000    2.280    0.175 hf.py:1037(eig)
       13    0.024    0.002    2.280    0.175 hf.py:799(eig)
       24    2.211    0.092    2.230    0.093 decomp.py:270(eigh)
       13    0.028    0.002    1.199    0.092 hf.py:587(get_fock)
       11    0.028    0.003    1.171    0.106 diis.py:29(update)
       23    1.044    0.045    1.044    0.045 {built-in method _functools.reduce}
       11    0.278    0.025    0.451    0.041 diis.py:183(update)
       12    0.000    0.000    0.426    0.036 hf.py:1052(get_grad)
       12    0.009    0.001    0.426    0.036 hf.py:667(get_grad)
      144    0.320    0.002    0.320    0.002 {built-in method numpy.core.multiarray.dot}
    886/2    0.004    0.000    0.288    0.144 <frozen importlib._bootstrap>:966(_find_and_load)
    886/2    0.003    0.000    0.288    0.144 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    503/2    0.002    0.000    0.288    0.144 <frozen importlib._bootstrap>:651(_load_unlocked)
    411/2    0.001    0.000    0.288    0.144 <frozen importlib._bootstrap_external>:672(exec_module)
    773/2    0.000    0.000    0.288    0.144 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.287    0.287 orbital_selection_fc.py:1(<module>)
   471/37    0.001    0.000    0.253    0.007 {built-in method builtins.__import__}
 2165/528    0.002    0.000    0.246    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        3    0.000    0.000    0.223    0.074 __init__.py:7(<module>)
       13    0.001    0.000    0.185    0.014 __init__.py:1(<module>)
        5    0.000    0.000    0.182    0.036 moleintor.py:24(getints)
        5    0.181    0.036    0.181    0.036 moleintor.py:176(getints2c)
        4    0.000    0.000    0.179    0.045 mole.py:2265(intor_symmetric)
        4    0.000    0.000    0.179    0.045 mole.py:2214(intor)
        1    0.000    0.000    0.165    0.165 hf.py:1041(get_hcore)
        1    0.002    0.002    0.165    0.165 hf.py:216(get_hcore)
        1    0.000    0.000    0.126    0.126 __init__.py:105(<module>)
        1    0.000    0.000    0.114    0.114 mole.py:7(<module>)
       35    0.001    0.000    0.113    0.003 linalg.py:2103(norm)
        1    0.000    0.000    0.108    0.108 __init__.py:106(<module>)
       13    0.000    0.000    0.088    0.007 hf.py:1059(dump_chk)
       13    0.003    0.000    0.088    0.007 chkfile.py:15(dump_scf)
        1    0.000    0.000    0.085    0.085 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.075    0.075 numpy_helper.py:518(cond)
        1    0.000    0.000    0.075    0.075 linalg.py:1461(cond)
        1    0.075    0.075    0.075    0.075 linalg.py:1299(svd)
       53    0.003    0.000    0.074    0.001 group.py:258(__setitem__)
        1    0.000    0.000    0.072    0.072 numpy_helper.py:6(<module>)
       53    0.001    0.000    0.070    0.001 group.py:63(create_dataset)
  502/476    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.069    0.069 type_check.py:3(<module>)
      875    0.006    0.000    0.066    0.000 <frozen importlib._bootstrap>:870(_find_spec)
       13    0.000    0.000    0.065    0.005 hf.py:208(energy_tot)
       53    0.038    0.001    0.064    0.001 dataset.py:53(make_new_dset)
        1    0.000    0.000    0.062    0.062 hf.py:1005(build)
        1    0.000    0.000    0.061    0.061 hf.py:1186(init_direct_scf)
        1    0.000    0.000    0.061    0.061 _vhf.py:16(__init__)
        1    0.029    0.029    0.061    0.061 _vhf.py:25(init_cvhf_direct)
    86/66    0.000    0.000    0.059    0.001 <frozen importlib._bootstrap_external>:919(create_module)
    86/66    0.027    0.000    0.058    0.001 {built-in method _imp.create_dynamic}
      870    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        1    0.000    0.000    0.057    0.057 misc.py:8(<module>)
      870    0.004    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      411    0.003    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        1    0.000    0.000    0.049    0.049 dmet.py:3(<module>)
        1    0.000    0.000    0.049    0.049 __init__.py:13(<module>)
     1881    0.015    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      411    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      411    0.035    0.000    0.035    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.034    0.034 __init__.py:266(<module>)
       13    0.000    0.000    0.033    0.003 hf.py:166(energy_elec)
       48    0.000    0.000    0.033    0.001 einsumfunc.py:824(einsum)
       48    0.033    0.001    0.033    0.001 {built-in method numpy.core.multiarray.c_einsum}
        1    0.032    0.032    0.032    0.032 moleintor.py:631(make_cintopt)
       13    0.000    0.000    0.032    0.002 hf.py:1140(energy_nuc)
       13    0.002    0.000    0.032    0.002 mole.py:962(energy_nuc)
  656/654    0.013    0.000    0.026    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.025    0.025 _minimize.py:8(<module>)
     1118    0.025    0.000    0.025    0.000 {built-in method numpy.core.multiarray.array}
      341    0.000    0.000    0.024    0.000 numeric.py:424(asarray)
        1    0.000    0.000    0.023    0.023 hf.py:1100(get_init_guess)
        1    0.000    0.000    0.023    0.023 hf.py:1067(init_guess_by_minao)
        1    0.000    0.000    0.023    0.023 hf.py:240(init_guess_by_minao)
      121    0.022    0.000    0.022    0.000 {built-in method builtins.abs}
       12    0.000    0.000    0.021    0.002 hf.py:1131(make_rdm1)
      208    0.001    0.000    0.021    0.000 re.py:286(_compile)
       12    0.001    0.000    0.021    0.002 hf.py:427(make_rdm1)
        1    0.000    0.000    0.021    0.021 __init__.py:634(<module>)
       71    0.000    0.000    0.020    0.000 re.py:231(compile)
       65    0.000    0.000    0.020    0.000 sre_compile.py:557(compile)
     9529    0.006    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.018    0.018 addons.py:209(project_mo_nr2nr)
        2    0.000    0.000    0.018    0.009 __init__.py:45(<module>)
       26    0.018    0.001    0.018    0.001 numpy_helper.py:156(hermi_triu)
        1    0.000    0.000    0.018    0.018 basic.py:5(<module>)
       39    0.001    0.000    0.018    0.000 _util.py:192(_asarray_validated)
       26    0.000    0.000    0.017    0.001 misc.py:25(load_library)
       26    0.000    0.000    0.017    0.001 ctypeslib.py:91(load_library)
       39    0.015    0.000    0.017    0.000 function_base.py:1170(asarray_chkfinite)
        1    0.000    0.000    0.017    0.017 orthogonal.py:72(<module>)
       13    0.016    0.001    0.017    0.001 _vhf.py:57(set_dm)
        1    0.000    0.000    0.016    0.016 __init__.py:184(<module>)
        1    0.000    0.000    0.016    0.016 _internal.py:6(<module>)
        1    0.000    0.000    0.016    0.016 decorators.py:5(<module>)
        1    0.000    0.000    0.015    0.015 decorators.py:15(<module>)
        1    0.000    0.000    0.015    0.015 utils.py:4(<module>)
        5    0.000    0.000    0.013    0.003 __init__.py:15(<module>)
     3000    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     3117    0.010    0.000    0.010    0.000 {built-in method posix.stat}
     9529    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       22    0.001    0.000    0.010    0.000 __init__.py:357(namedtuple)
       65    0.000    0.000    0.010    0.000 sre_compile.py:542(_code)
      502    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       65    0.000    0.000    0.009    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.009    0.009 platform.py:10(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:220(<module>)
        1    0.000    0.000    0.009    0.009 hf.py:1045(get_ovlp)
        1    0.000    0.000    0.009    0.009 hf.py:234(get_ovlp)
        1    0.000    0.000    0.009    0.009 __init__.py:110(<module>)
        1    0.000    0.000    0.009    0.009 misc.py:1(<module>)
       15    0.000    0.000    0.009    0.001 files.py:273(__init__)
        1    0.000    0.000    0.008    0.008 mole.py:31(M)
        1    0.000    0.000    0.008    0.008 mole.py:1553(build)
        1    0.000    0.000    0.008    0.008 ccompiler.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:10(<module>)
   345/65    0.002    0.000    0.008    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.008    0.008 linalg_helper.py:1135(cho_solve)
        1    0.007    0.007    0.008    0.008 basic.py:42(solve)
   163/65    0.000    0.000    0.008    0.000 sre_parse.py:407(_parse_sub)
        1    0.000    0.000    0.008    0.008 case.py:1(<module>)
   187/69    0.003    0.000    0.008    0.000 sre_parse.py:470(_parse)
       26    0.000    0.000    0.008    0.000 fromnumeric.py:50(_wrapfunc)
        1    0.000    0.000    0.008    0.008 py3k.py:4(<module>)
        1    0.000    0.000    0.008    0.008 lapack.py:461(<module>)
        1    0.000    0.000    0.008    0.008 files.py:12(<module>)
       13    0.000    0.000    0.007    0.001 fromnumeric.py:943(argmax)
       13    0.007    0.001    0.007    0.001 {method 'argmax' of 'numpy.ndarray' objects}
       15    0.007    0.000    0.007    0.000 files.py:122(make_fid)
      886    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
      411    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.000    0.000    0.007    0.007 __init__.py:87(<module>)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _util.py:1(<module>)
      822    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 attrs.py:15(<module>)
     2606    0.001    0.000    0.006    0.000 enum.py:265(__call__)
        1    0.000    0.000    0.006    0.006 tempfile.py:24(<module>)
        1    0.000    0.000    0.006    0.006 group.py:12(<module>)
        2    0.000    0.000    0.006    0.003 __init__.py:19(<module>)
        1    0.000    0.000    0.006    0.006 context.py:1(<module>)
        1    0.000    0.000    0.005    0.005 inspect.py:27(<module>)
     1657    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     6376    0.004    0.000    0.005    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.005    0.005 random.py:38(<module>)
      908    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
